亜	亞	つぐ あ ア に ニ
哀		あわれ くちへん アイ かなしい くち あい あわれむ
挨		てへん て アイ ひらく あい
愛		いとしい こころ めでる まな したごころ アイ かなしい おしむ りっしんべん あい
曖		ひへん ひ アイ くらい にちへん あい にち
悪	惡	こころ したごころ アク あし いずくんぞ にくい オ お わる いずくに りっしんべん あく にくむ わるい ああ
握		てへん アク て にぎる あく
圧	壓	アツ オウ へす おす つちへん あつ エン おう えん おさえる つち
扱		てへん きゅう て あつかう そう キュウ ソウ こく あつかる あつかい
宛		あてる エン あて づつ あたかも えん うかんむり
嵐		やまへん らん ラン やま あらし
安		やすらか あん やすい やすまる アン やす うかんむり
案		あん きへん つくえ き アン
暗		あん ひへん ひ くらい くらむ くれる にちへん アン にち
以		ひと にんべん ひとがしら イ ひとやね い もって
衣		ぎ ころもへん エ きぬ イ い え ころも
位		ひと にんべん くらい ぐらい ひとがしら イ ひとやね い
囲	圍	くにがまえ かこう かこむ かこい イ い
医	醫	いやす イ いする くすし い かくしがまえ
依		ひと エ にんべん よる ひとがしら イ ひとやね い え
委		おんな おんなへん イ い ゆだねる
威		おどし おんな おどす おんなへん イ い おどかす
為	爲	なる れんが つくる なり ひへん ひ する ため イ たり なす い れっか
畏		おそれる かしこ かしこし た かしこまる たへん イ い
胃		ニク にく イ い にくづき
尉		すん ジョウ じょう イ い スン
異		ことなる た こと たへん イ い け
移		いねへん のぎ のぎへん うつす うつる イ い いね
萎		なえる くさかんむり しおれる な くさ イ しぼむ い しなびる そうこう
偉		えらい ひと にんべん ひとがしら イ ひとやね い
椅		き い きへん イ
彙		はりねずみ けいがしら イ いのこがしら い
意		こころ したごころ りっしんべん イ い
違		たがう ちがい ちがう しんにゅう たがえる イ ちがえる い しんにょう
維		い いとへん いと イ
慰		こころ なぐさむ したごころ なぐさめる イ りっしんべん い
遺		のこす ユイ しんにゅう しんにょう イ い ゆい
緯		いと よこいと いとへん イ い ぬき
域		いき イキ つちへん つち
育		イク いく はぐくむ ニク そだち にく そだつ そだてる にくづき
一		ひと イツ ひとつ いつ イチ いち
壱	壹	さむらい さむらいかんむり イツ ひとつ いつ イチ いち
逸	逸	はぐれる それる イツ しんにゅう いつ そらす しんにょう
茨		し シ くさかんむり いばら くさぶき くさ ジ かや じ そうこう
芋		う くさかんむり いも くさ ウ そうこう
引		イン ひく ゆみへん いん ひける ゆみ
印		イン わりふ いん まげわりふ しるし しるす ふしづくり じるし
因		イン くにがまえ ちなむ いん よる
咽		イン えつ くちへん エツ のむ エン いん むせる のど えん くち むせぶ
姻		イン おんな いん おんなへん
員		イン くちへん いん くち
院		イン こざとへん いん おか
淫		イン ほしいまま さんずい したみず いん みだれる みだり みず ひたす みだら
陰		イン かげる いん かげ こざとへん おか
飲		イン オン しょく ショク のむ いん しょくへん のみ おん
隠	隱	イン かくす オン いん おん よる こざとへん かくし おか かくれる
韻		イン おとへん おと いん
右		う ユウ くちへん ゆう くち ウ みぎ
宇		う うかんむり ウ
羽		う はね ウ は わ
雨		あめ う あま あめかんむり ウ さめ
唄		うた くちへん ばい うたう バイ くち
鬱		ウツ ふさぐ うつ しげる チョウ うっする ちょう においざけ
畝		も ム む うね ホ た ほ せ ぼう モ たへん ボウ
浦		うら ホ さんずい したみず ほ みず
運		はこぶ しんにゅう うん ウン しんにょう
雲		あめ あめかんむり ぐも うん くも ウン
永		エイ さんずい したみず みず ながい えい
泳		エイ さんずい したみず およぐ みず えい
英		エイ くさかんむり くさ はなぶさ えい そうこう
映		エイ ひへん ひ うつす うつる はえる ばえ にちへん にち えい
栄	榮	ヨウ エイ さかえる きへん はえる よう ばえ き はえ え えい
営	營	くちへん エイ くち いとなみ いとなむ えい
詠		エイ ことば うたう よむ げん ゲン ごんべん えい
影		さんづくり エイ かげ かみかざり けかざり えい
鋭		エイ かねへん かね するどい えい
衛	衞	エイ エ ゆきがまえ ぎょうがまえ え えい
易		やさしい ひへん ひ やすい エキ えき イ にちへん い にち
疫		ヤク やまいだれ エキ えき やく
益		ヤク ます さら エキ えき やく
液		さんずい したみず エキ えき みず
駅	驛	エキ えき うま うまへん
悦		えつ こころ したごころ エツ りっしんべん よろこばす よろこぶ
越		えつ こえる おつ エツ そうにょう こす オツ ごえ はしる ごし
謁	謁	えつ エツ ことば ゲン げん ごんべん
閲		えつ もん エツ モン かどがまえ もんがまえ けみする
円	圓	けいがまえ まる まきがまえ エン まろやか まるい えん まど えんがまえ どうがまえ まどか
延		のべ えんにゅう のべる えんにょう エン のばす いんにょう のびる えん
沿		さんずい そう したみず エン えん みず ぞい
炎		れんが ほのお ひへん エン ひ えん れっか
怨		うらめしい こころ うらみ オン したごころ エン おん えん りっしんべん うん ウン うらむ
宴		えん エン うかんむり うたげ
媛		おんな エン ひめ おんなへん えん
援		て てへん エン えん
園		その エン えん くにがまえ
煙		れんが けむい けむり ひへん エン ひ けむる えん れっか
猿		いぬ エン えん けものへん さる
遠		オン エン しんにゅう おん えん とおい しんにょう
鉛		エン なまり かねへん かね えん
塩	鹽	しお つちへん エン えん つち
演		さんずい したみず エン えん みず
縁	緣	ふちどる いと ねん えにし へり エン ゆかり よすが いとへん えん ネン ふち
艶	艷	あでやか なまめかしい つや いろ エン なまめく えん つやめく
汚		よごす けがらわしい さんずい けがれる したみず よごれる きたない けがす オ お みず
王		おうへん オウ たま おう のう たまへん ノウ
凹		くぼむ オウ かんにょう へこむ うけばこ おう ぼこ
央		オウ だいかしら だいかんむり だい ダイ おう
応	應	こころ ヨウ オウ したごころ まさに おう のう よう りっしんべん あたる こたえる ノウ
往		いにしえ いく オウ おう ゆく ぎょうにんべん さきに
押		てへん オウ おし おす おっ て おう おさえる
旺		オウ ひへん ひ おう にちへん さかん にち
