亜	亞	に ア ニ つぐ あ
哀		アイ かなしい くちへん あわれ くち あい あわれむ
挨		アイ てへん ひらく あい て
愛		めでる アイ かなしい おしむ りっしんべん いとしい まな あい こころ したごころ
曖		アイ にち にちへん あい ひ くらい ひへん
悪	惡	にくい にくむ ああ わるい アク りっしんべん オ わる いずくんぞ お いずくに あし こころ あく したごころ
握		てへん アク て あく にぎる
圧	壓	つちへん エン へす あつ アツ おさえる えん おう オウ おす つち
扱		きゅう あつかう こく てへん そう ソウ て あつかい あつかる キュウ
宛		づつ あたかも あてる えん あて エン うかんむり
嵐		やま やまへん ラン らん あらし
安		やすまる やす やすらか あん アン やすい うかんむり
案		き あん つくえ アン きへん
暗		にち にちへん あん アン ひ くらい くらむ くれる ひへん
以		にんべん イ ひとがしら ひとやね い ひと もって
衣		イ ころもへん ころも い え エ ぎ きぬ
位		ぐらい にんべん イ ひとがしら ひとやね くらい ひと い
囲	圍	かこい かこむ イ くにがまえ かこう い
医	醫	イ くすし いやす い いする かくしがまえ
依		にんべん イ ひとがしら ひとやね い ひと え エ よる
委		イ おんな ゆだねる い おんなへん
威		イ おんな おどかす おどす い おんなへん おどし
為	爲	イ なる ため なり たり れっか する ひ い つくる れんが なす ひへん
畏		かしこまる イ たへん かしこ かしこし い おそれる た
胃		イ にくづき い ニク にく
尉		イ スン ジョウ い じょう すん
異		イ たへん ことなる い こと け た
移		いね のぎへん のぎ うつす うつる イ い いねへん
萎		しおれる そうこう イ なえる しぼむ い しなびる くさ くさかんむり な
偉		にんべん イ ひとがしら えらい ひとやね い ひと
椅		き きへん い イ
彙		イ けいがしら い はりねずみ いのこがしら
意		イ りっしんべん い こころ したごころ
違		イ しんにゅう たがえる しんにょう たがう ちがい い ちがう ちがえる
維		いとへん いと い イ
慰		イ りっしんべん い こころ なぐさめる したごころ なぐさむ
遺		ユイ イ しんにゅう ゆい しんにょう い のこす
緯		よこいと イ いとへん いと い ぬき
域		イキ つち つちへん いき
育		そだつ いく イク はぐくむ そだち にくづき そだてる ニク にく
一		イツ いち いつ ひとつ イチ ひと
壱	壹	イツ いち いつ さむらい ひとつ イチ さむらいかんむり
逸	逸	イツ しんにゅう そらす いつ しんにょう はぐれる それる
茨		そうこう ジ かや し じ くさぶき シ いばら くさ くさかんむり
芋		ウ そうこう いも う くさ くさかんむり
引		ゆみ ひける イン ゆみへん ひく いん
印		イン しるし まげわりふ しるす じるし わりふ いん ふしづくり
因		イン くにがまえ いん ちなむ よる
咽		イン のむ エン くちへん エツ むせる えつ くち のど えん いん むせぶ
姻		いん おんなへん おんな イン
員		くちへん いん イン くち
院		いん イン おか こざとへん
淫		みだれる イン さんずい したみず ほしいまま ひたす みず いん みだら みだり
陰		イン おか かげ かげる こざとへん いん
飲		ショク のみ イン のむ オン しょくへん おん いん しょく
隠	隱	イン オン おか かくし おん かくれる こざとへん いん よる かくす
韻		おとへん いん イン おと
右		ウ くちへん ユウ くち う みぎ ゆう
宇		ウ うかんむり う
羽		ウ わ はね う は
雨		あめかんむり ウ あま あめ さめ う
唄		うた くちへん くち バイ ばい うたう
鬱		うつ ウツ においざけ チョウ ちょう うっする ふさぐ しげる
畝		む も ほ ボウ モ たへん ホ うね せ ム ぼう た
浦		ほ さんずい ホ したみず みず うら
運		ウン うん しんにゅう はこぶ しんにょう
雲		あめかんむり くも ウン うん あめ ぐも
永		さんずい したみず エイ えい みず ながい
泳		およぐ さんずい したみず エイ えい みず
英		そうこう エイ えい はなぶさ くさ くさかんむり
映		はえる にち うつす うつる ばえ にちへん ひ エイ えい ひへん
